,County,Year,FIPS,WBGT Days above 85,WBGT Hours above 85,WBGT Days above 90,WBGT Hours above 90,WBGT Av. 24h high JJA,WBGT Av. 24h low JJA
638,"Ogle County, IL",2024,17141.0,0,0,0,0,73.0642312888123,61.510868274440966
639,"Peoria County, IL",2016,17143.0,2,4,0,0,76.10760618493332,65.30613035726455
640,"Peoria County, IL",2017,17143.0,1,1,0,0,74.04941160422514,61.49230584529676
641,"Peoria County, IL",2018,17143.0,0,0,0,0,76.16087671919902,64.52225958937031
642,"Peoria County, IL",2019,17143.0,1,3,0,0,74.65564522160658,63.258846416154945
643,"Peoria County, IL",2020,17143.0,0,0,0,0,75.54164744948991,63.949237358227194
644,"Peoria County, IL",2021,17143.0,0,0,0,0,75.74012835842541,64.6750029207721
645,"Peoria County, IL",2022,17143.0,1,0,0,0,75.01535271108801,63.2931674131187
646,"Peoria County, IL",2023,17143.0,3,3,0,0,74.1718559119781,62.17875329141038
647,"Peoria County, IL",2024,17143.0,2,0,0,0,74.6965881179826,63.61442701915338
648,"Perry County, IL",2016,17145.0,3,6,0,0,78.94058714859422,69.41522843423097
649,"Perry County, IL",2017,17145.0,3,6,0,0,76.40886672770023,66.01170423188502
650,"Perry County, IL",2018,17145.0,0,0,0,0,78.0621941215083,68.34797383417362
651,"Perry County, IL",2019,17145.0,1,1,0,0,76.9148144724076,66.94741196998595
652,"Perry County, IL",2020,17145.0,1,1,0,0,77.53876811852288,67.77323865388031
653,"Perry County, IL",2021,17145.0,0,0,0,0,77.79502109606946,68.27513786020178
654,"Perry County, IL",2022,17145.0,6,0,0,0,77.92856536088526,67.62098806910237
655,"Perry County, IL",2023,17145.0,9,0,0,0,77.17218455932486,66.62664377236374
656,"Perry County, IL",2024,17145.0,4,0,0,0,77.3808235887125,66.8227064907791
657,"Piatt County, IL",2016,17147.0,1,2,0,0,76.2788049168168,65.06994813148538
658,"Piatt County, IL",2017,17147.0,0,0,0,0,74.15089923808537,61.901791813809844
659,"Piatt County, IL",2018,17147.0,0,0,0,0,76.0410058244082,64.58460976541697
660,"Piatt County, IL",2019,17147.0,0,0,0,0,74.86663510444043,63.148700754390894
661,"Piatt County, IL",2020,17147.0,0,0,0,0,75.33049294463376,63.62412532937032
662,"Piatt County, IL",2021,17147.0,0,0,0,0,76.02641231352898,64.84880942800567
663,"Piatt County, IL",2022,17147.0,2,0,0,0,75.28977021536781,63.67882172264613
664,"Piatt County, IL",2023,17147.0,4,0,0,0,74.39405508486796,62.06987447385589
665,"Piatt County, IL",2024,17147.0,2,0,0,0,74.83594208274951,62.77175950639045
666,"Pike County, IL",2016,17149.0,3,8,0,0,77.58340926542682,66.7091556912264
667,"Pike County, IL",2017,17149.0,3,9,0,0,75.6382827200283,63.10027812690437
